UID,Manager UID,First,Last,Email,User Name,Department,Title
1,2,Fritz,Sipes,dorothacole@mcglynn.net,dorene.hermann,Tools & Beauty,International Administrator
2,2,Emery,Jerde,kristopherkertzmann@konopelski.name,joye.cronin,Health & Kids,Human IT Designer
3,2,Antione,Hoppe,davidmckenzie@murazikrowe.net,rudolph.jaskolski,Movies & Automotive,Real-Estate Strategist
4,3,Virgil,Thompson,shane@marquardt.org,aracely,Music,Global Community-Services Executive
5,3,Tosha,Rutherford,maybelle@williamson.name,kiyoko_hauck,Toys,Human IT Designer
6,3,Vada,Stehr,alfredasatterfield@hegmannquigley.com,jacinto.green,Shoes,Customer Banking Specialist
7,2,Sharita,Hilll,warrenjohns@markshackett.com,robbyn,Jewelry & Automotive,Real-Estate Strategist
8,2,Roseanna,Bogisich,malkapacocha@franecki.info,henry.bins,Movies & Home,Product Consulting Producer
9,2,Carley,Kihn,ping@kirlinlang.com,reagan,Baby,Banking Specialist
10,3,Timothy,Torphy,cherie@witting.info,joseph,Shoes,Accounting Officer
11,3,Rocco,Lubowitz,terrance@wilderman.biz,marcus,Tools & Beauty,Manufacturing Planner
12,3,Ferdinand,Klocko,aldo@mraztrantow.net,enriqueta_frami,Toys,Banking Specialist
13,2,Logan,Stark,grant@strosin.com,wilbur,"Garden, Grocery & Electronics",Hospitality Planner
14,2,Opal,Hermiston,jeromyokon@block.biz,ellis.casper,Tools & Beauty,Corporate Design Developer
15,2,Lazaro,Abernathy,taylorwisoky@bogan.co,rhett_hickle,Music,Hospitality Planner
16,2,Roy,Wuckert,alice@mills.biz,kelly,Movies & Home,International Administrator
17,3,Betty,Howell,neilschoen@veumorn.co,shizuko,Tools & Beauty,Human IT Designer
18,3,Florentino,Sauer,mindagulgowski@ernserbrakus.org,judson.harber,Industrial,International Administrator
19,2,Elba,Considine,colene@bins.info,derek,Shoes,Banking Specialist
20,2,Hobert,Keebler,rodger@treutel.com,bertie_borer,"Health, Games & Garden",Marketing Producer
